,0
16821,1
16822,1
16823,1
16824,1
16825,1
16826,1
16827,1
16828,1
16829,1
16830,1
16831,1
16832,1
16833,1
16834,1
16835,1
16836,1
16837,1
16838,1
16839,1
16840,1
16841,1
16842,1
16843,1
16844,1
16845,1
16846,1
16847,0
16848,0
16849,-1
16850,-1
16851,-1
16852,-1
16853,-1
16854,0
16855,-1
16856,0
16857,0
16858,1
16859,1
16860,1
16861,1
16862,1
16863,1
16864,1
16865,1
16866,1
16867,1
16868,1
16869,1
16870,1
16871,1
16872,1
16873,1
16874,1
16875,1
16876,1
16877,0
16878,0
16879,0
16880,1
16881,-1
16882,-1
16883,-1
16884,-1
16885,-1
16886,-1
16887,1
16888,1
16889,0
16890,-1
16891,-1
16892,-1
16893,-1
16894,-1
16895,-1
16896,-1
16897,-1
16898,-1
16899,-1
16900,-1
16901,-1
16902,0
16903,1
16904,1
16905,1
16906,1
16907,1
16908,1
16909,1
16910,1
16911,1
16912,1
16913,1
16914,1
16915,1
16916,1
16917,0
16918,0
16919,-1
16920,-1
16921,-1
16922,0
16923,1
16924,0
16925,0
16926,1
16927,1
16928,0
16929,0
16930,0
16931,1
16932,0
16933,0
16934,0
16935,0
16936,0
16937,-1
16938,-1
16939,0
16940,1
16941,-1
16942,-1
16943,-1
16944,-1
16945,-1
16946,-1
16947,0
16948,1
16949,1
16950,0
16951,1
16952,1
16953,1
16954,1
16955,1
16956,0
16957,-1
16958,-1
16959,-1
16960,-1
16961,-1
16962,-1
16963,0
16964,0
16965,0
16966,1
16967,1
16968,0
16969,0
16970,1
16971,1
16972,1
16973,1
16974,1
16975,1
16976,1
16977,1
16978,1
16979,1
16980,1
16981,1
16982,1
16983,1
16984,1
16985,1
16986,1
16987,1
16988,1
16989,1
16990,1
16991,1
16992,1
16993,1
16994,1
16995,1
16996,1
16997,0
16998,0
16999,0
17000,-1
17001,-1
17002,-1
17003,-1
17004,-1
17005,-1
17006,-1
17007,0
17008,0
17009,1
17010,1
17011,1
17012,1
17013,1
17014,1
17015,1
17016,1
17017,1
17018,1
17019,-1
17020,-1
17021,-1
17022,-1
17023,-1
17024,-1
17025,-1
17026,-1
17027,-1
17028,-1
17029,-1
17030,-1
17031,-1
17032,-1
17033,-1
17034,-1
17035,-1
17036,-1
17037,-1
17038,-1
17039,-1
17040,-1
17041,-1
17042,0
17043,1
17044,0
17045,1
17046,1
17047,1
17048,1
17049,0
17050,1
17051,0
17052,-1
17053,-1
17054,-1
17055,-1
17056,-1
17057,-1
17058,-1
17059,-1
17060,0
17061,1
17062,1
17063,1
17064,1
17065,1
17066,1
17067,1
17068,1
17069,1
17070,1
17071,1
17072,0
17073,1
17074,1
17075,1
17076,1
17077,1
17078,1
17079,1
17080,1
17081,0
17082,-1
17083,-1
17084,-1
17085,-1
17086,-1
17087,-1
17088,-1
17089,-1
17090,1
17091,0
17092,1
17093,1
17094,0
17095,0
17096,0
17097,-1
17098,-1
17099,-1
17100,-1
17101,-1
17102,-1
17103,-1
17104,-1
17105,-1
17106,-1
17107,-1
17108,-1
17109,-1
17110,0
17111,0
17112,0
17113,1
17114,1
17115,1
17116,1
17117,1
17118,1
17119,1
17120,1
17121,1
17122,1
17123,1
17124,1
17125,1
17126,1
17127,1
17128,1
17129,1
17130,1
17131,1
17132,1
17133,1
17134,1
17135,1
17136,1
17137,1
17138,1
17139,1
17140,1
17141,1
17142,1
17143,1
17144,1
17145,1
17146,1
17147,1
17148,1
17149,1
17150,1
17151,-1
17152,-1
17153,-1
17154,-1
17155,-1
17156,1
17157,1
17158,1
17159,1
17160,1
17161,1
17162,1
17163,1
17164,1
17165,0
17166,-1
17167,-1
17168,-1
17169,-1
17170,-1
17171,-1
17172,-1
17173,-1
17174,-1
17175,-1
17176,-1
17177,-1
17178,-1
17179,-1
17180,-1
17181,-1
17182,-1
17183,-1
17184,-1
17185,-1
17186,-1
17187,-1
17188,-1
17189,-1
17190,-1
17191,-1
17192,1
17193,1
17194,1
17195,1
17196,1
17197,0
17198,1
17199,1
17200,1
17201,1
17202,-1
17203,-1
17204,-1
17205,-1
17206,-1
17207,-1
17208,-1
17209,-1
17210,-1
17211,-1
17212,-1
17213,-1
17214,-1
17215,-1
17216,-1
17217,-1
17218,-1
17219,-1
17220,1
17221,1
17222,1
17223,1
17224,0
17225,1
17226,1
17227,1
17228,1
17229,1
17230,1
17231,1
17232,1
17233,1
17234,1
17235,0
17236,-1
17237,0
17238,0
17239,1
17240,1
17241,1
17242,1
17243,1
17244,1
17245,1
17246,1
17247,1
17248,1
17249,1
17250,1
17251,0
17252,0
17253,1
17254,0
17255,1
17256,1
17257,1
17258,1
17259,1
17260,1
17261,1
17262,1
17263,1
17264,0
17265,-1
17266,-1
17267,-1
17268,-1
17269,0
17270,0
17271,0
17272,1
17273,1
17274,1
17275,1
17276,1
17277,1
17278,1
17279,1
17280,0
17281,0
17282,1
17283,0
17284,0
17285,0
17286,1
17287,1
17288,1
17289,1
17290,1
17291,1
17292,1
17293,1
17294,1
17295,1
17296,1
17297,1
17298,1
17299,1
17300,1
17301,0
17302,-1
17303,-1
17304,-1
17305,-1
17306,-1
17307,-1
17308,-1
17309,-1
17310,-1
17311,-1
17312,-1
17313,-1
17314,-1
17315,0
17316,-1
17317,0
17318,1
17319,1
17320,1
17321,1
17322,0
17323,-1
17324,1
17325,-1
17326,0
17327,-1
17328,-1
17329,-1
17330,1
17331,1
17332,1
17333,1
17334,1
17335,1
17336,1
17337,1
17338,1
17339,1
17340,-1
17341,-1
17342,-1
17343,-1
17344,-1
17345,-1
17346,-1
17347,-1
17348,-1
17349,-1
17350,-1
17351,-1
17352,-1
17353,-1
17354,-1
17355,-1
17356,-1
17357,-1
17358,-1
17359,-1
17360,-1
17361,-1
17362,-1
17363,-1
17364,-1
17365,-1
17366,-1
17367,-1
17368,-1
17369,-1
17370,-1
17371,-1
17372,-1
17373,1
17374,1
17375,1
17376,1
17377,1
17378,1
17379,1
17380,1
17381,1
17382,1
17383,0
17384,0
17385,-1
17386,-1
17387,0
17388,0
17389,0
17390,-1
17391,1
17392,0
17393,1
17394,1
17395,1
17396,1
17397,0
17398,1
17399,1
17400,1
17401,1
17402,0
17403,1
17404,1
17405,1
17406,1
17407,0
17408,-1
17409,-1
17410,0
17411,0
17412,1
17413,0
17414,0
17415,1
17416,0
17417,1
17418,1
17419,1
17420,1
17421,0
17422,-1
17423,1
17424,1
17425,1
17426,1
17427,1
17428,1
17429,1
17430,0
17431,1
17432,1
17433,0
17434,0
17435,-1
17436,0
17437,-1
17438,-1
17439,-1
17440,-1
17441,-1
17442,-1
17443,-1
17444,-1
17445,-1
17446,-1
17447,-1
17448,-1
17449,-1
17450,-1
17451,-1
17452,-1
17453,-1
17454,-1
17455,-1
17456,-1
17457,-1
17458,-1
17459,-1
17460,-1
17461,-1
17462,-1
17463,0
17464,0
17465,-1
17466,0
17467,1
17468,1
17469,1
17470,1
17471,1
17472,1
17473,0
17474,-1
17475,0
17476,1
17477,0
17478,-1
17479,-1
17480,-1
17481,-1
17482,-1
17483,0
17484,1
17485,0
17486,-1
17487,0
17488,-1
17489,-1
17490,0
17491,1
17492,1
17493,1
17494,1
17495,1
17496,1
17497,1
17498,1
17499,1
17500,1
17501,1
17502,-1
17503,-1
17504,-1
17505,-1
17506,-1
17507,-1
17508,-1
17509,-1
17510,-1
17511,-1
17512,-1
17513,-1
17514,-1
17515,-1
17516,-1
17517,-1
17518,-1
17519,-1
17520,-1
17521,-1
17522,-1
17523,-1
17524,-1
17525,-1
17526,-1
17527,-1
17528,-1
17529,1
17530,1
17531,1
17532,1
17533,1
17534,1
17535,1
17536,1
17537,1
17538,1
17539,1
17540,1
17541,-1
17542,-1
17543,-1
17544,-1
17545,-1
17546,-1
17547,-1
17548,-1
17549,-1
17550,-1
17551,0
17552,1
17553,1
17554,1
17555,1
17556,1
17557,1
17558,1
17559,0
17560,1
17561,0
17562,0
